NAME,CATEGORY,START DATE,END DATE,DESCRIPTION,ORGANIZER,VENUE,ADDRESS,URL
Ross Minor in Business Information Session,,2017-11-08 17:00:00,2017-11-08 18:00:00,"Current University of Michigan students are welcome to join us in an information session dedicated to the Minor in  Business at the Stephen M. Ross School of Business.  During this session you will learn more about the Minor  through an interactive presentation from Ross admissions staff, academic advisors, and current Minor in Business students. 
The Ross Minor in Business is a 15 credit minor that is an excellent opportunity to build upon your passions and  abilities by gaining an understanding of key business skills, concepts, and perspectives. We hope you will discover this experience yourself!
All Ross Minor in Business information sessions will be held at the Stephen M. Ross School of Business.
When you register, please use your umich.edu email address. Thank you!",Ross Undergraduate Admissions,Ross School of Business - B1590,"701 Tappan St., Ann Arbor, MI 48109",https://www.eventbrite.com/e/ross-minor-in-business-information-session-registration-37894843497?aff=ebapi
Master of Supply Chain Management Admissions Chat - International Applicants,Other,2017-11-09 08:00:00,2017-11-09 17:00:00,"Thinking about Grad School? Interested in learning more about the Ross Master of Supply Chain Management Program? 
Simply complete the registration for a 30-minute chat session with an MSCM Admissions Advisor. During the session, you will have the opportunity to individually learn more about the program or obtain tips for creating a desirable application for the MSCM Program. Once registered, you will receive an email offering the available time slots. Choose your desired meeting format: online, in-person, or via phone.
We look forward to chatting with you!",MSCM Admissions,Ross School of Business,"701 Tappan St., Ann Arbor, MI 48109",https://www.eventbrite.com/e/master-of-supply-chain-management-admissions-chat-international-applicants-registration-38421794622?aff=ebapi
Woolfolk Fall 2017 Collection Trunk Show,Other,2017-11-09 10:00:00,2017-11-09 18:00:00,"Woolfolk yarn arrived in the shop in August to the expected (and deserved) oohs and aahs. Now, Woolfolk's most recent design collection is coming to Ann Arbor for a few days to provoke even more admiration. 

Woolfolk’s FW17 Collection, inspired by the majestic landscape of the Pacific Northwest, features a soft color palette and Woolfolk’s signature modern simplicity. 

We'll have the show up in the shop for just a week. Don't miss it!",Spun Ann Arbor,Spun Ann Arbor,"407 N 5th Ave, Ann Arbor, 48104",https://www.eventbrite.com/e/woolfolk-fall-2017-collection-trunk-show-tickets-39467659833?aff=ebapi
Crochet Flower Scarf - Beginner Crochet Project!,Other,2017-11-09 11:00:00,2017-11-09 14:00:00,"Thursday, November 9, 11am-2pm, and Thursday, November 16, 11am-12pm • $76
Teacher: Beth Battey

Churchmouse’s pretty “Flowers Scarf” will keep summer in bloom around your neck all winter! Choose yarn that plays with color (like Zauberball or Crazy Zauberball) for a cheerful accessory, or go with a hand-dyed tonal skein for a more delicate bouquet. You’ll be making the smaller size of the two scarves detailed in Churchmouse’s pattern (plenty big for wearing around your neck), but once you get the hang of joining the flower motifs, you’ll easily be able to create larger pieces. Beth will show you how to create and join your motifs during week 1’s longer session, setting you up to work successfully at home before you return for questions and follow-up during week 2’s shorter session. It’s past time for you to make yourself something special! 
Pre-requisites: Participants should be familiar with the following: chain stitch, single crochet, double crochet, half double crochet, slip stitch.
Materials: 
• One skein (440 yds.) of fingering weight yarn, purchased from Spun
• Size US E crochet hook
• Darning or tapestry needle (optional)
• Pattern provided by Spun
Maximum number of students: 7

To register and pay online for any class, click on the ""Book Now"" button, stop by the store, or call 734-780-7867.",Spun Ann Arbor,Spun Ann Arbor,"407 N 5th Ave, Ann Arbor, 48104",https://www.eventbrite.com/e/crochet-flower-scarf-beginner-crochet-project-tickets-39362299698?aff=ebapi
Full-Time MBA - Admissions Visit in Person,Family & Education,2017-11-09 12:30:00,2017-11-09 16:30:00,"The Michigan Ross School of Business invites you to attend Ross Visit in Person (VIP).
Get a taste of a day in the life of a Ross MBA student. The agenda for VIP is as follows:
12:30 p.m. – 12:45 p.m.: Check in at the Admissions Office - 700 E. University, Kresge Hall, Room 1521. If you enter the Blau building off E. University, walk down the hall until you see a small set of stairs on your left hand side and a glass wall that says Graduate Admissions. If you enter the Ross building off Tappan, walk past the front desk and Robertson Auditorium, exit the Ross building and go in the building that says Kresge Hall. The small set of stairs will be on your right hand side just past the IT office/locker area
12:45 p.m. – 1:15 p.m.: Admissions Presentation
1:15 p.m. – 2:00 p.m.: Q&A and building tour
2:10 p.m. - 4:30 p.m.: Optional class visit (Mondays and Thursdays only). If the class is two hours long you can leave at the break.
*$10 vouchers for the Seigle Cafe are available in the Admissions Office on the day*",MBA Admissions - Visit in Person,Ross School of Business,"701 Tappan St., Ann Arbor, MI 48109",https://www.eventbrite.com/e/full-time-mba-admissions-visit-in-person-tickets-35144518200?aff=ebapi
Mastering the Art of Highly Successful Conversational Selling -  Free Webinar MasterClass (Networking and Business),Business & Professional,2017-11-09 13:00:00,2017-11-09 14:15:00,"**YOU MUST ENTER YOUR EMAIL ADDRESS BY CLICKING THE LINK RIGHT BELOW.
This is the only way we will be able to send you the access link you need to join in.
Without this, you will not be able to attend and that will frustrate you...and it will make us very sad to not see you there. 
https://attendee.gotowebinar.com/register/4067796485503696387
~~~
I'm excited to have you join me for my Free Webinar MasterClass so you can Master the Art of Conversational selling.  It will dramatically impact how you sell...and allow you to sell more and with greater ease. 
Simply register here on Eventbrite to secure your seat. We will then email you your Webinar Log In Link so you can join us when we go live.
I look forward to 'seeing' you on the webinar!
Read below to learn more...
~~~
Have You Ever Felt Any of These When Selling?


Sales-y


Inauthentic


Sleezy


Not Honoring


It dosn't have to be this way. In fact, it's just not the way anyone successfully sells anything these days.
Come spend 75 minutes during this free MasterClass and Your Selling Will Completely Transform. Your selling will become:


Conversational


Enjoyable


Authentic


Honororing


HIGHLY EFFECTIVE IN SELLING


“Kate was hired by The British Consulate General to run a Business Relationship Building workshop. As a British diplomat with over 20 years of experience at home and overseas I wasn’t sure that I had much left to learn. Kate opened my eyes to some obvious, and not so obvious techniques. I highly recommend Kate for her expertise.”
Lorraine Fussey/Former Head of Corporate Services, UK Mission to the UN and British Consulate General New York
~~~
“Kate’s energy is infectious, and her suggestions are creative, savvy, and heart-warmingly human — the intuitions you wish you had (or maybe needed a reminder that you do!). I’ll be recommending her highly to friends in business, the arts, and life!”
Michaela MortonLicensed Real Estate Salesperson, Bohemia Real Estate Group
~~~
Damn woman! It worked again!!!
 I sent out four LI messages, same storyline as yesterday---and two responded.  I had one conversation within hours (per her email request!), I focused my questions on her, her work, her ‘pain points’, objectives, et al.  I now have an appointment with her on February 9th.  This works!
Now, where were you 9-years ago when the economy tanked?  I could have used your help then!! J   But I certainly appreciate it now.   
Paul Silverstri, Principle/Meeting Achlemy, INC","Kate Gaffin, Founder of 'Human to Human' Selling",Online - Any Device w/Fast Internet and Sound**,"IMPORTANT - YOU MUST FOLLOW INSTRUCTIONS AT THE BEGINNING OF THE EVENT DESCRIPTION OR YOU WILL NOT BE ABLE TO ATTEND THIS WEBINAR, Ann Arbor, Michigan",https://www.eventbrite.com/e/mastering-the-art-of-highly-successful-conversational-selling-free-webinar-masterclass-networking-tickets-39508901187?aff=ebapi
B+I November Workshop,Other,2017-11-09 18:00:00,2017-11-10 17:00:00,"Workshop for everyone #1! It's going to be great!
YOU MUST SIGN UP FOR INDIVIDUAL SESSIONS.",Ross B+I Initiative,"Ross School of Business, University of Michigan","701 Tappan Avenue, Ann Arbor, MI 48109",https://www.eventbrite.com/e/bi-november-workshop-tickets-38868291105?aff=ebapi
Erb Director's Happy Hour,,2017-11-09 18:00:00,2017-11-09 20:00:00,"Join us for a jovial community event!! Because of schedule conflicts with the regular Welcome Back dinner, the Erb Institute would like to invite you to join us for a Director's Happy Hour. 
This is a chance to meet and mingle with Director's Joe Arvai and Terry Nelidov, as well as Erb Staff, and fellow students. In addition, we will be presenting the Percy Community Service Awards and the Ajay Gupta Memorial Award. 
The Happy Hour will take place November 9, 2017 from 6:00-8:00 pm, in the Corner Commons. 
Drinks and appetizers will be provided. 
We look forward to seeing all of you!",Erb Institute ,Jeff T. Blau Hall - Corner Commons,"700 East University Avenue, Ann Arbor, MI 48104",https://www.eventbrite.com/e/erb-directors-happy-hour-tickets-39023687901?aff=ebapi
University of Michigan Diwali Jaher Sabha,Religion & Spirituality,2017-11-09 19:00:00,2017-11-09 21:00:00,Come and learn about the teachings of Diwali and the importance it plays as a celebration to Hindus all around the world.,BAPS Campus Fellowship,Innovatrium,"601 East University Avenue, Ann Arbor, MI 48104",https://www.eventbrite.com/e/university-of-michigan-diwali-jaher-sabha-tickets-39572621777?aff=ebapi
16th Annual Pathology Research Symposium,Science & Technology,2017-11-10 09:00:00,2017-11-10 17:00:00,"Join Us Nov. 10, 2017
This Molecular and Cellular Pathology graduate student event showcases research within the department by faculty, postdoctoral fellows, and Ph.D. students. 
 

 
Program Schedule
Morning 9 AM — Student and faculty talks10:50 AM — Break11 AM — Keynote SpeakerNoon — Lunch/Poster session
Afternoon1:30 — Student and faculty talks4:00 PM — Break4:15 PM — Career Panel4:45 PM — Awards
 

 
Keynote Speaker
Dan Rhodes, PhD
CEO, Strata Oncology Adjunct Assistant Professor, Department of Pathology, University of Michigan
Dan Rhodes is a scientist and entrepreneur focused on precision medicine in oncology.
He is currently co-founder and CEO of Strata Oncology, a venture-backed company leveraging its state-of-the-art cancer genome sequencing laboratory to accelerate precision medicine clinical trials. From 2012-2015, Dan was Vice President of Oncology for Thermo Fisher Scientific (Life Technologies) where he oversaw the development of cancer sequencing products and pharma companion diagnostic partnerships. From 2006-2012, Dan was co-founder and CEO of Compendia Bioscience, a University of Michigan spinoff formed to further develop and commercialize his thesis project, Oncomine™, a cancer genome data-mining platform. Over six years, Compendia grew to 20+ pharma customers, 10,000+ users and nearly $10M in annual revenue, culminating in the acquisition by Life Technologies in 2012. Dan has co-authored 40+ publications and is a co-inventor on 10 patents, including the discovery of gene fusions as a genetic cause of prostate cancer. He received the Weintraub Award, the AACR Team Science Award and was recognized by Crain’s Detroit as a Mergers and Acquisitions Deal of the Year Finalist. Dan serves on the oversight committee for the Michigan Translational Research and Commercialization (MTRAC) Program and on the Advisory Boards for eLab Ventures and the Monroe-Brown Biomedical Seed Fund. Dan received both a Bachelor of Science in Molecular Biology and a Doctorate in Bioinformatics from The University of Michigan.
 

 
Poster Abstract Submissions
If you are presenting a Poster, please download this template, fill out the information, and send your abstract to Laura Labut.
Download Template
 

For more, Contact Laura Labut.",Department of Pathology - Michigan Medicine,A. Alfred Taubman Biomedical Science Research Building,"109 Zina Pitcher Place, Ann Arbor, MI 48109",https://www.eventbrite.com/e/16th-annual-pathology-research-symposium-tickets-36894515489?aff=ebapi
Woolfolk Fall 2017 Collection Trunk Show,Other,2017-11-10 10:00:00,2017-11-10 18:00:00,"Woolfolk yarn arrived in the shop in August to the expected (and deserved) oohs and aahs. Now, Woolfolk's most recent design collection is coming to Ann Arbor for a few days to provoke even more admiration. 

Woolfolk’s FW17 Collection, inspired by the majestic landscape of the Pacific Northwest, features a soft color palette and Woolfolk’s signature modern simplicity. 

We'll have the show up in the shop for just a week. Don't miss it!",Spun Ann Arbor,Spun Ann Arbor,"407 N 5th Ave, Ann Arbor, 48104",https://www.eventbrite.com/e/woolfolk-fall-2017-collection-trunk-show-tickets-39467656824?aff=ebapi
Michigan Ross Master of Accounting Preview Day,,2017-11-10 12:00:00,2017-11-10 18:30:00,"You're invited to explore the Michigan Ross Master of Accounting Program at our annual Preview Day!You will be given the unique opportunity to explore our program through: - Networking with current students and Ross faculty and staff - Learning about the curriculum, program experience and employment opportunities - Touring the Ross building, central campus and more!This event is limited to non-University of Michigan students/graduates interested in starting our program in the fall semester of 2018. Space is limited. To apply to attend Preview Day, please complete this online registration. Once your application has been reviewed, the Ross MAcc Program Staff will contact you to confirm your attendance.Appetizers & dinner will be provided. Please RSVP by Wednesday, Nov. 8th.",MAcc Admissions,Ross School of Business,"700 East University Ave., Ann Arbor, MI 48109",https://www.eventbrite.com/e/michigan-ross-master-of-accounting-preview-day-registration-38715711736?aff=ebapi
Ross BBA High School Student Information Session,,2017-11-10 14:00:00,2017-11-10 15:30:00,"Visit us!  
High School students, parents, and family members are welcome to join us in an information session dedicated to the undergraduate experience at the Stephen M. Ross School of Business.  During this session you will learn more about the Bachelors of Business Administration (BBA) program through an interactive presentation, current student panel, and tour of the Ross building.
The Ross BBA Program is nationally known for our focus on action-based learning, leadership development, and global experiences.  We hope to see you on campus so that you can discover this experience yourself!
We also encourage you to take the day to visit the University of Michigan’s campus by attending an Office of Undergraduate Admissions information session and tour.  Please visit www.admissions.umich.edu to sign up for this central campus experience as well.
This Ross information session and tour will be held at the Stephen M. Ross School of Business in Blau Hall at 700 East University.  (Information sessions and tours provided by the University’s Office of Undergraduate Admissions will be held at the Student Activities Building, 515 E Jefferson Street, Ann Arbor, MI 48109.)  For assistance, please call 734-763-5796 or email rossundergrad@umich.edu.",Ross Undergraduate Admissions,Ross School of Business - Blau 1580,"700 East University, Ann Arbor, MI 48109",https://www.eventbrite.com/e/ross-bba-high-school-student-information-session-registration-36855528879?aff=ebapi
Let’s Taco Bout Tech:  Engineering Team “Speed” Roundtable discussions,Business & Professional,2017-11-10 16:00:00,2017-11-10 18:00:00,"Come check out our Duo office and join us for a chance to meet leaders and team members from Duo’s Engineering teams in small group rotations. Learn about what they're working on and what it’s like to be an Engineer (or Engineering intern) at Duo. We will be adressing questions like: How do you make the most of an internship at a high-growth company like Duo? What comes after the internship? 
Tacos provided! #LetsTacoBoutTech #LikeSpeedDatingButBetter",,Duo Security,"130 South 1st Street Lower Level , Ann Arbor, MI 48104",https://www.eventbrite.com/e/lets-taco-bout-tech-engineering-team-speed-roundtable-discussions-tickets-39225555693?aff=ebapi
Woolfolk Fall 2017 Collection Trunk Show,Other,2017-11-11 09:00:00,2017-11-11 18:00:00,"Woolfolk yarn arrived in the shop in August to the expected (and deserved) oohs and aahs. Now, Woolfolk's most recent design collection is coming to Ann Arbor for a few days to provoke even more admiration. 

Woolfolk’s FW17 Collection, inspired by the majestic landscape of the Pacific Northwest, features a soft color palette and Woolfolk’s signature modern simplicity. 

We'll have the show up in the shop for just a week. Don't miss it!",Spun Ann Arbor,Spun Ann Arbor,"407 N 5th Ave, Ann Arbor, 48104",https://www.eventbrite.com/e/woolfolk-fall-2017-collection-trunk-show-tickets-39467655821?aff=ebapi
A2F2 Event: Used Camera Buyer On-Site - Sell Your Photo Gear,Hobbies & Special Interest,2017-11-11 09:30:00,2017-11-11 15:30:00,"The Used Buying Event
We will have a used camera buyer on-site to make offers for your used photo equipment. Bring your gently used, one owner, photographic gear to either sell or trade.
What is the buyer interested in?
 The used camera buyer told us he's interested in collectible or current lenses and interchangeable lens cameras in clean and working condition.
What isn't the buyer interested in?
 The used camera buyer is not interested in tripods, bags, studio lighting, projectors, or any equipment that is broken and in need of repair.
What is the procedure to see the used camera buyer?
Upon arriving at the store, we will ask for your name and mobile phone number, and you will be given a sequentially numbered ticket. Attendees will be served in a first come, first served fashion--the buyer will call each sequential ticket number in order. We will do our best to estimate wait-times--early indicators are that there is a high-degree of interest, which may result in a considerable wait time. You are welcome to leave the store or participate in many of our free educational events of the day, and we will contact you when it is near your turn.
Is there a way to expedite the buying of my gear?
We have made arrangements for an expedited process for lower-value transactions. Many common items, such as popular 35mm interchangeable lens cameras from the 80's and 90's, can be purchased by the buying assistant. Please ask a staff member when you arrive if you think you may be selling an item that fits this category.
How do I get paid?
We'll attempt to pay cash for most transactions; however, we may need to mail a check, which will arrive approximately a week after the event.
You are also welcome to trade-in your equipment towards new gear. Trade-ins will receive a 5% bonus towards in-store purchases during the event.",CameraMall,CameraMall,"518 East Washington Street, Ann Arbor, MI 48104",https://www.eventbrite.com/e/a2f2-event-used-camera-buyer-on-site-sell-your-photo-gear-tickets-39132804271?aff=ebapi
