NAME,CATEGORY,START DATE,END DATE,DESCRIPTION,ORGANIZER,VENUE,ADDRESS,URL
Justin Caruso @ Necto,Music,2017-11-08 21:00:00,2017-11-09 02:00:00,"JUSTIN CARUSO
AGES: 18+ 
Tickets: After completing your purchase on Eventbrite, you will receive an email confirmation with your attached PDF ticket(s). You must display the barcode on this .pdf ticket OR print it out and bring with you to get scanned at the door for entry. 
The name on the tickets do not have to match the ID so long as the barcode is scannable. PSG is not responsible if ticket(s) cannot be scanned and the order is under a different name than the person presenting the ticket.
Change names on your tickets here.
Transfer/Change your ticket type here.
Any additional questions can be answered here: primesocial.com/faq",Prime Social Group Presents...,Necto Nightclub,"516 East Liberty Street, Ann Arbor, MI 48104",https://www.eventbrite.com/e/justin-caruso-necto-tickets-38354250596?aff=ebapi
CLARA Pilot Workshop - Making Peace with our Words,Community & Culture,2017-11-09 18:00:00,2017-11-09 20:00:00,"CLARA – Making Peace with Our Words
What happens when you disagree strongly with someone who is an important part of your life, and about whom you may care deeply?  At home, at work, in school, in our religious institutions…how do we speak our truth without harming or ending a relationship?                                                                                                                                       
CLARA is a method for speaking and listening with an open heart. It stands for Calm and Center, Listen, Affirm, Respond and Add.  It’s been used by people around the world since the 1990's to keep the lines of communication open even when people are on opposite sides of an issue.  Although the steps are simple, using them can have a profound impact, helping us treat others with respect and caring, rather than anger and dismissal.                                  
“CLARA – Making Peace with Our Words” will give you a chance to practice and get comfortable with the steps of this process.  It will give you an important skill for the troubled times in which we find ourselves.  We look forward to sharing this knowledge and process with you.
For a limited time only $10 for ICPJ members and non-members. 
(Regularly $20 for ICPJ members, $30 non-members)",Interfaith Council for Peace and Justice,1420 Hill St,"Meeting Room, Ann Arbor, MI 48104",https://www.eventbrite.com/e/clara-pilot-workshop-making-peace-with-our-words-tickets-39040171203?aff=ebapi
Christian Martin x Desert Hearts at Necto,Music,2017-11-09 21:00:00,2017-11-10 01:00:00,"Necto presents...
Christian Martin x Desert Hearts [Mikey Lion | Lee Reynolds | Marbs | Porkchop]
Christian Martin's love affair with electronic music began in 1995, as an early attendee at Southern California's legendary Moontribe full moon desert parties. After absorbing late 90's club life in New York, London, and Los Angeles, Christian settled in San Francisco in the spring of 2000. He started playing records in 2002 under the tutelage of his brother, Justin Martin, armed with a stack of Justin's old vinyl and used Technics 1200's from Sammy D.
In 2003, inspired by the massive desert soundsystems of old, Christian founded the dirtybird soundsystem. Along with co-founders Justin Martin, Worthy, and Claude VonStroke, dirtybird's Sunday afternoon BBQ's have quickly become a Golden Gate Park institution.
____________________________________________________________________
Desert Hearts was manifested from an abundance of positive energy in November of 2012. Starting as a 200 person renegade gathering in the Mojave, we have grown tremendously, refining our abilities to produce world class house and techno gatherings. Home of Desert Hearts Records and our roaming City Hearts party series, we aim to spread as much love as humanly possible through music and art.
Desert Hearts started as a collaboration of San Diego based DJs Mikey Lion, Lee Reynolds, Marbs, Porkchop, and Deep Jesus alongside social influencer Christopher Kristoff. Together we put in all our love dedicating endless hours of our time to creating a beautiful place where we can gather and celebrate life through music and community.

Doors open at 9pm. 18 & over welcome with proper ID.
VIP services available. Contact: VIP@necto.com
Christian Martin : Watch | Listen | Talk | Meet | Peek
Desert Hearts : Watch | Listen | Talk | Meet | Peek",Necto,Necto,"516 East Liberty Street, Ann Arbor, MI 48104",https://www.eventbrite.com/e/christian-martin-x-desert-hearts-at-necto-tickets-36783003955?aff=ebapi
Ambassadors of Song - International Male Chorus Symposium,Music,2017-11-10 19:00:00,2017-11-11 23:00:00,"The University of Michigan Men’s Glee Club invites singers and audiences from around the world to join us in song and celebration of the University of Michigan’s Bicentennial Anniversary at the Ambassadors of Song International Male Chorus Symposium. Register as an attendee, a group, a member of the Michigan High School Bicentennial Chorus, or an alumnus in our Ambassadors of Song Alumni Chorus. For more information, visit bicentennial.ummgc.org/ambassadors-of-song/
Additionally, please note that the ""Optional Add-On: Alumni Sunday Brunch"" that will take place on Sunday, November 12th is open to all alumni and spouses/partners. UMMGC alumni from two international tour groups will also be celebrating special anniversaries during the weekend. These include the 1967 World Tour Group, its 50th, and the 1992 Eastern European Tour Group, its 25th. As members of these groups (whether or not you participated in either tour), you can register to attend a reunion lunch held in the League that Friday, one for the 1967 group, another for the 1992 group. This is an optional cost.",The University of Michigan Men's Glee Club,Hill Auditorium,"825 N University Ave., Ann Arbor, MI 48109",https://www.eventbrite.com/e/ambassadors-of-song-international-male-chorus-symposium-tickets-31097525536?aff=ebapi
Soul Flow Vinyasa at Center for Yoga (11/10),Health & Wellness,2017-11-10 20:00:00,2017-11-10 21:00:00,"SOUL FLOW VINYASA! 


Underground Yoga Co is coming to Center For Yoga!


Join teacher Elaina Mackey and DJ Adam Westing as they create a lively hip hop vinyasa yoga class!


Come partake in rhythmic, soulful, movement filled yoga class like never before. Underground Yoga creates an energetic environment and experience open to any and all who want to come take class. Elaina will lead us through a 60min Hot Vinyasa, as we move together through Hip Hop music.





*you do not need to be a Center For Yoga member to partake, everyone is welcome*





LIMITED SPACE AVAILABLE! 


$20 pre-register


$25 drop-in",Southpaw Events,Center For Yoga,"621 East William Street, Ann Arbor, MI 48104",https://www.eventbrite.com/e/soul-flow-vinyasa-at-center-for-yoga-1110-tickets-38600481078?aff=ebapi
ELMAC 20th Anniversary Conference,,2017-11-11 08:30:00,2017-11-11 15:00:00,"Welcome to the ELMAC 20th Anniversary Conference!  We can’t wait to see you and to talk together about the important work of teaching in 2017 and beyond.  Alumni and ELMAC faculty have planned a lively day full of opportunities for you to reunite with other educators and reinvigorate your teaching by sharing your stories of practice and reflecting on your work in the company of other committed educators.  We’ll have a Zingerman’s lunch and many moments for enjoying each other’s company!
Participants will include ELMAC alumni, mentor teachers, faculty and staff from across the years, current and prospective students, and others who have been affiliated with ELMAC in many ways.  If you are not able to attend in person, we invite you to register to participate in selected sessions online.
Sessions will include a keynote address by Professor Deborah Ball;  several moderated “unconference” discussion sessions on topics nominated by participants; and “Teacher to Teacher” 15-20 minute roundtable sessions, where you can share a practice, idea, or insight about your own work with other educators. If you are interested in presenting at a Teacher to Teacher session, submit your idea here.
We look forward to seeing you on November 11!

Schedule of Events:8:30 - 9:00 a.m. - Coffee and light breakfast9:00 - 10:00 a.m. - Keynote and discussion: Deborah Ball, Professor and Former Dean, School of Education10:30 a.m. - 12:30 p.m. - “Unconference” conversation sessions (topics generated and led by participants)12:30 - 1:30 p.m. - Lunch: Catered by Zingerman’s1:30 - 2:35 p.m. - Teacher to Teacher Sessions2:40 - 3:00 p.m. - Closing Circles",School of Education ELMAC Program,"School of Education Building, 2nd Floor","610 East University Avenue, Ann Arbor, MI 48109",https://www.eventbrite.com/e/elmac-20th-anniversary-conference-registration-37699126101?aff=ebapi
Adult & Child CPR/AED and First Aid,Other,2017-11-12 08:00:00,2017-11-12 12:00:00,"This course is offered on Sunday's, September thru December, 2017, from 8am-noon.  It will cover Child/Adult CPR, AED and First Aid. At the successful completion of class, a link will be emailed to you so you can print your own certification. You will be certified by the American Red Cross. The CCRB opens at 8:00 am. Please enter the building off of the footbridge on Washtenaw and meet in front of room 3064. It is important you arrive by 8:00 am. You only need to attend one Sunday session from 8am-noon to obtain certification.
FAQs
What is the cancellation/refund policy?
You may drop the class up to one day before the class starts for a refund. In order to obtain a refund, log on to EventBrite and request your refund.
Where can I contact the organizer with any questions?
Contact Kerry Winkelseth, Director:


kebwink@umich.edu


734.647.2708


Rm 3064 Central Campus Recreation Building",Kinesiology Community Programs,Central Campus Recreation Building,"401 Washtenaw Avenue Rm 3040, Ann Arbor, MI 48109",https://www.eventbrite.com/e/adult-child-cpraed-and-first-aid-registration-37132374933?aff=ebapi
CBD 101,Health & Wellness,2017-11-13 18:30:00,2017-11-13 19:30:00,"What is CBD?
How does it work?
What are the health benefits?
How can it help me?
 
This Month's Cannabis Classroom is featuring Blue Sage Health Consulting.  Blue Sage Health’s mission is to educate and empower you to achieve your highest quality of life with the use of plant based cannabidiol (CBD).  CBD is a compound that research has shown to reduce anxiety and has analgesic and anti-inflammatory properties.  Learn about the endocannabinoid system and how it is very important in maintaining health. We will discuss all the different ways it can be used and how you can benefit from daily supplementation. There will be a presentation on CBD followed by a question and answer session with our expert CBD Consultant Julie!  We are excited to share with you this incredibly safe, non-pharmaceutical alternative! We hope to see you there!

At  Crazy Wisdom  114 S Main St, Ann Arbor, MI 48104
November 13th at 6:30-7:30pm

Sponsored by BlueSageHealth.com",Julie Barron MA,Crazy Wisdom Bookstore & Tea Room,"114 South Main Street, Ann Arbor, MI 48104",https://www.eventbrite.com/e/cbd-101-tickets-39338467415?aff=ebapi
España 101 WINE CLASS,Food & Drink,2017-11-15 18:00:00,2017-11-15 19:30:00,"Not the same old wine tasting, and definitely not your average lecture... this is Aventura Wine Class! Led by certified sommelier, Kelsey Wonsavage, you'll get a crash course in the wines of Spain; varietals, viticultural, winemaking practices, the whole shebang. And--you get to drink the wine too. This might just be the quintessential no-brainer.",,Aventura,"216 East Washington Street, Ann Arbor, MI 48104",https://www.eventbrite.com/e/espana-101-wine-class-tickets-39338279854?aff=ebapi
@home: A Documentary Film Exploring Homelessness in America,Charity & Causes,2017-11-15 18:00:00,2017-11-15 20:00:00,"Join the Washtenaw Housing Alliance in recognition of National Hunger & Homelessness Awareness Week, for a special screening of the documentary film @home, a journey through the landscape of a forgotten America — the invisible communities of people living without permanent housing. 
The film explores homelessness through the lens of activist Mark Horvath, as he talks with people across the country about their experiences living on the street and in shelters, who are finding their way back home. 
Admission includes light bites and a drink ticket from Zingerman's. There will be an opportunity for Q+A after the film. 
*Tickets are non-refundable.",Washtenaw Housing Alliance,Zingerman's Greyline,"100 North Ashley Street, Ann Arbor, MI 48104",https://www.eventbrite.com/e/home-a-documentary-film-exploring-homelessness-in-america-tickets-39222397246?aff=ebapi
España 101 Wine Class,Food & Drink,2017-11-15 18:30:00,2017-11-15 19:00:00,"Not the same old wine tasting, and definitely not your average lecture... this is Aventura Wine Class! Led by certified sommelier, Kelsey Wonsavage, you'll get a crash course in the wines of Spain; varietals, viticultural, winemaking practices, the whole shebang. And--you get to drink the wine too. This might just be the quintessential no-brainer.",Aventura ,Aventura,"216 East Washington Street, Ann Arbor, MI 48104",https://www.eventbrite.com/e/espana-101-wine-class-tickets-39338690081?aff=ebapi
Introduction to DSLR Photography with George Borel,Hobbies & Special Interest,2017-11-15 18:30:00,2017-11-15 20:30:00,"Class Description
Need help getting started with your DSLR or Mirrorless Interchangeable Lens Camera? This is the perfect class for getting started.
In this class, George will cover the basics of digital photography, helping you to understand the physics of photography, so you can start taking more control of your photos. He will also offer some strategies to increase the quality of your everyday photos with some great photo tips.

Some of the topics that are covered:
- Elements of Exposure (Shutter speed, Aperture, ISO)
- What is a Digital Image? (Pixels, Resolution, Compression)
- Basics of a good image (subject, composition, color, contrast)
- Next level of image making (depth of field, lighting, point of view, macro)
- Moving out of P mode (A, S, M)


Do I need to pre-register?
Yes, we have limited seating, so pre-registration is required. Class costs $40, and if you have purchased a camera or lens with us, you are welcome to select ""Free Entry.""



Class is held at CameraMall 
Our address: 518 E Washington St, Ann Arbor, MI 48104
Having trouble finding us?
Our store is located in the building immediately to the east of the liberty square parking garage--we're right next door to Name Brand Tattoo and across the street from the First United Methodist Church. We have bright yellow Nikon awnings. We're located at the star in the image below. If you're still having trouble finding us, feel free to give us a call at 734-997-5031.",CameraMall,CameraMall,"518 East Washington Street, Ann Arbor, MI 48104",https://www.eventbrite.com/e/introduction-to-dslr-photography-with-george-borel-tickets-39060061696?aff=ebapi
"Joy, Inc. Factory Tour",Business & Professional,2017-11-16 16:00:00,2017-11-16 17:30:00,"Join us for this 90-minute tour to explore how we created our joyful, award-winning work environment and to hear about the world-class products we have created for our clients. The session includes a walking tour of the Menlo Software Factory™ and time for Q&A with a tour guide. You'll also receive a copy of Rich Sheridan's new book, Joy, Inc. (retail price $27.95).
This public factory tour is offered the third Thursday of every month. Our tours often fill quickly! If the date you're looking for isn't available, feel free to call or email us to learn more about other opportunities to visit the Software Factory.
DURATION: 90 minutesCOST: $30
The Menlo Software Factory™ is located at 505 E Liberty St, LL500, Ann Arbor, Michigan 48104.",Menlo Innovations,Menlo Innovations,"505 E Liberty St, Ann Arbor, MI 48104",https://www.eventbrite.com/e/joy-inc-factory-tour-tickets-28420853538?aff=ebapi
